fare_id,route_id,origin_id,destination_id,contains_id
HR-5b8934da-7544-11e2-abb7-1231392484b4,IMPERIAL+MIDTOWN,,,
HR-5b896b26-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b8978d2-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b8985de-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b8992ea-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b899fec-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b89acee-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b89b9e6-7544-11e2-abb7-1231392484b4,IMPERIAL+WFC,,,
HR-5b89c6e8-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b89d3e0-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b8a2b6a-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b8a392a-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b8a4cf8-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b8a6350-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b8a711a-7544-11e2-abb7-1231392484b4,IMPERIAL+PIER11,,,
HR-5b8a7e9e-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8a8c18-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8a99b0-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8aaf04-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8abcec-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8aca2a-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8ae000-7544-11e2-abb7-1231392484b4,LIBERTE+PIER11,,,
HR-5b8c26b8-7544-11e2-abb7-1231392484b4,BEACON+NEWBURGH,,,
HR-5b966628-7544-11e2-abb7-1231392484b4,BEACON+NEWBURGH,,,
HR-5b967906-7544-11e2-abb7-1231392484b4,BEACON+NEWBURGH,,,
HR-5b968662-7544-11e2-abb7-1231392484b4,BEACON+NEWBURGH,,,
HR-5b969364-7544-11e2-abb7-1231392484b4,BEACON+NEWBURGH,,,
HR-5b96a066-7544-11e2-abb7-1231392484b4,OSSINING+HAVERSTRAW,,,
HR-5b96af98-7544-11e2-abb7-1231392484b4,OSSINING+HAVERSTRAW,,,
HR-5b96c028-7544-11e2-abb7-1231392484b4,OSSINING+HAVERSTRAW,,,
HR-5b96ce2e-7544-11e2-abb7-1231392484b4,OSSINING+HAVERSTRAW,,,
HR-5b96dba8-7544-11e2-abb7-1231392484b4,OSSINING+HAVERSTRAW,,,
