fare_id,price,currency_type,payment_method,transfers,transfer_duration
HR-5b7495ac-7544-11e2-abb7-1231392484b4,9.00,USD,1,0,0
HR-5b74a2a4-7544-11e2-abb7-1231392484b4,6.00,USD,1,0,0
HR-5b74afa6-7544-11e2-abb7-1231392484b4,8.25,USD,1,0,0
HR-5b74bc9e-7544-11e2-abb7-1231392484b4,83.00,USD,1,0,0
HR-5b74ccde-7544-11e2-abb7-1231392484b4,272.00,USD,1,0,0
HR-5b74d9e0-7544-11e2-abb7-1231392484b4,310.00,USD,1,0,0
HR-5b74e6d8-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
HR-5b74f984-7544-11e2-abb7-1231392484b4,10.75,USD,1,0,0
HR-5b75069a-7544-11e2-abb7-1231392484b4,6.50,USD,1,0,0
HR-5b751446-7544-11e2-abb7-1231392484b4,9.75,USD,1,0,0
HR-5b752526-7544-11e2-abb7-1231392484b4,97.50,USD,1,0,0
HR-5b7532f0-7544-11e2-abb7-1231392484b4,304.50,USD,1,0,0
HR-5b7567f2-7544-11e2-abb7-1231392484b4,342.50,USD,1,0,0
HR-5b7575d0-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
HR-5b758390-7544-11e2-abb7-1231392484b4,7.00,USD,1,0,0
HR-5b83d800-7544-11e2-abb7-1231392484b4,3.50,USD,1,0,0
HR-5b83e6ce-7544-11e2-abb7-1231392484b4,6.50,USD,1,0,0
HR-5b83f8a8-7544-11e2-abb7-1231392484b4,65.75,USD,1,0,0
HR-5b840672-7544-11e2-abb7-1231392484b4,229.00,USD,1,0,0
HR-5b841874-7544-11e2-abb7-1231392484b4,264.00,USD,1,0,0
HR-5b8538d0-7544-11e2-abb7-1231392484b4,1.00,USD,1,0,0
HR-5b8549ec-7544-11e2-abb7-1231392484b4,9.00,USD,1,0,0
HR-5b855c02-7544-11e2-abb7-1231392484b4,6.00,USD,1,0,0
HR-5b856d28-7544-11e2-abb7-1231392484b4,8.25,USD,1,0,0
HR-5b857a7a-7544-11e2-abb7-1231392484b4,83.00,USD,1,0,0
HR-5b859082-7544-11e2-abb7-1231392484b4,272.00,USD,1,0,0
HR-5b85deac-7544-11e2-abb7-1231392484b4,310.00,USD,1,0,0
HR-5b85ec62-7544-11e2-abb7-1231392484b4,1.25,USD,1,0,0
HR-5b868fa0-7544-11e2-abb7-1231392484b4,8.00,USD,1,0,0
