trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
BEACON-NEWBURGH-WEEKDAY-02,06:34:00,06:34:00,NEWBURGH,2,,0,,
BELFORD-PAULUS-WEEKDAY-01,6:33:00,6:33:00,PAULUS,2,,0,,
BELFORD-PIER11-WEEKDAY-01,6:33:00,6:33:00,PIER11,2,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-02,06:35:00,06:35:00,OSSINING,2,,0,,
MIDTOWN-EDGEWATER-WEEKDAY-01,06:30:00,06:30:00,MIDTOWN,1,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-02,6:35:00,6:35:00,PIER11,1,,0,,
WFC-BELFORD-WEEKDAY-01,6:35:00,6:35:00,BPT,1,,0,,
BELFORD-WFC-WEEKDAY-01,6:35:00,6:35:00,BPT,2,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-02,6:35:00,6:35:00,PIER11,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-01,6:35:00,6:35:00,HOBOKENNJTTSTATION,2,,0,,
OSSINING-HAVERSTRAW-WEEKDAY-02,06:35:00,06:35:00,OSSINING,1,,0,,
PIER11-IMPERIAL-WEEKDAY-01,6:36:00,6:36:00,IMPERIAL,2,,0,,
PAULUS-PIER11-WEEKDAY-03,6:37:00,6:37:00,PAULUS,1,,0,,
HOBOKEN14-WFC-WEEKDAY-02,6:38:00,6:38:00,HOBOKEN14STATION,1,,0,,
PIER11-IMPERIAL-WEEKDAY-02,6:38:00,6:38:00,PIER11,1,,0,,
IMPERIAL-PIER11-WEEKDAY-02,6:38:00,6:38:00,PIER11,2,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-02,6:38:00,6:38:00,HOBOKEN14STATION,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-02,6:20:00,6:20:00,IMPERIAL,1,,0,,
PIER11-PAULUS-WEEKDAY-02,6:39:00,6:39:00,PAULUS,2,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-03,6:40:00,6:40:00,HOBOKEN14STATION,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-04,6:40:00,6:40:00,HOBOKENNJTTSTATION,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-03,6:40:00,6:40:00,HOBOKENNJTTSTATION,1,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-02,6:28:00,6:28:00,MIDTOWN,2,,0,,
IMPERIAL-PIER11-WEEKDAY-03,6:40:00,6:40:00,IMPERIAL,1,,0,,
NEWBURGH-BEACON-WEEKDAY-03,06:42:00,06:42:00,NEWBURGH,1,,0,,
PAULUS-BELFORD-WEEKDAY-01,6:40:00,6:40:00,PAULUS,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-03,6:40:00,6:40:00,BPT,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-03,6:40:00,6:40:00,BPT,2,,0,,
LIBERTY-PIER11-WEEKDAY-03,6:40:00,6:40:00,PIER11,2,,0,,
PIER11-LIBERTY-WEEKDAY-02,6:40:00,6:40:00,LIBERTYHARBOR,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-02,6:40:00,6:40:00,HOBOKENNJTTSTATION,2,,0,,
MIDTOWN-PAULUS-WEEKDAY-01,6:43:00,6:43:00,PAULUS,2,,0,,
LIBERTY-PIER11-WEEKDAY-04,6:45:00,6:45:00,LIBERTYHARBOR,1,,0,,
PAULUS-MIDTOWN-WEEKDAY-01,6:45:00,6:45:00,PAULUS,1,,0,,
PIER11-LIBERTY-WEEKDAY-03,6:45:00,6:45:00,PIER11,1,,0,,
PIER11-PAULUS-WEEKDAY-03,6:45:00,6:45:00,PIER11,1,,0,,
IMPERIAL-WFC-WEEKDAY-02,6:45:00,6:45:00,BPT,2,,0,,
WFC-HOBOKEN14-WEEKDAY-02,6:46:00,6:46:00,BPT,1,,0,,
WFC-IMPERIAL-WEEKDAY-02,6:46:00,6:46:00,BPT,1,,0,,
HOBOKEN14-WFC-WEEKDAY-02,6:46:00,6:46:00,BPT,2,,0,,
PAULUS-PIER11-WEEKDAY-03,6:46:00,6:46:00,PIER11,2,,0,,
OSSINING-HAVERSTRAW-WEEKDAY-02,06:50:00,06:50:00,HAVERSTRAW,2,,0,,
HOBOKEN14-MIDTOWN-WEEKDAY-03,6:48:00,6:48:00,MIDTOWN,2,,0,,
IMPERIAL-MIDTOWN-WEEKDAY-03,6:40:00,6:40:00,IMPERIAL,1,,0,,
MIDTOWN-EDGEWATER-WEEKDAY-01,06:45:00,06:45:00,EDGEWATER,2,,0,,
BEACON-NEWBURGH-WEEKDAY-03,06:51:00,06:51:00,BEACON,1,,0,,
NEWBURGH-BEACON-WEEKDAY-03,06:51:00,06:51:00,BEACON,2,,0,,
EDGEWATER-MIDTOWN-WEEKDAY-02,06:45:00,06:45:00,EDGEWATER,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-05,6:50:00,6:50:00,HOBOKENNJTTSTATION,1,,0,,
MIDTOWN-HOBOKEN14-WEEKDAY-03,6:50:00,6:50:00,MIDTOWN,1,,0,,
WFC-HOBOKENNJTT-WEEKDAY-04,6:50:00,6:50:00,BPT,1,,0,,
HOBOKENNJTT-WFC-WEEKDAY-04,6:50:00,6:50:00,BPT,2,,0,,
PIER11-HOBOKENNJTT-WEEKDAY-02,6:50:00,6:50:00,HOBOKENNJTTSTATION,2,,0,,
WFC-HOBOKENNJTT-WEEKDAY-03,6:50:00,6:50:00,HOBOKENNJTTSTATION,2,,0,,
HAVERSTRAW-OSSINING-WEEKDAY-03,06:50:00,06:50:00,HAVERSTRAW,1,,0,,
HOBOKENNJTT-PIER11-WEEKDAY-04,6:51:00,6:51:00,HOBOKENNJTTSTATION,1,,0,,
PAULUS-PIER11-WEEKDAY-04,6:52:00,6:52:00,PAULUS,1,,0,,
