shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
ERF_weekend_south_shape,40.720852,-73.964038,15,
ERF_weekend_south_shape,40.720998,-73.965926,16,
ERF_weekend_south_shape,40.720169,-73.9679,17,
ERF_weekend_south_shape,40.717957,-73.969746,18,
ERF_weekend_south_shape,40.715078,-73.97099,19,
ERF_weekend_south_shape,40.711646,-73.970819,20,
ERF_weekend_south_shape,40.709857,-73.970926,21,
ERF_weekend_south_shape,40.708605,-73.969853,22,
ERF_weekend_south_shape,40.709825,-73.973243,23,
ERF_weekend_south_shape,40.706734,-73.992856,24,
ERF_weekend_south_shape,40.704473,-73.995581,25,
ERF_weekend_south_shape,40.703367,-73.994851,26,
ERF_weekend_south_shape,40.703887,-74.002748,27,
ERF_weekend_south_shape,40.703595,-74.00646,28,
ERF_weekend_south_shape,40.699056,-74.005151,29,
ERF_weekend_south_shape,40.693134,-74.015193,30,
ERF_weekend_north_shape,40.693134,-74.015193,0,
ERF_weekend_north_shape,40.743924,-73.97069,28,
ERF_weekend_north_shape,40.743599,-73.968287,27,
ERF_weekend_north_shape,40.7429,-73.964446,26,
ERF_weekend_north_shape,40.741746,-73.961055,25,
ERF_weekend_north_shape,40.741112,-73.962793,24,
ERF_weekend_north_shape,40.739584,-73.964789,23,
ERF_weekend_north_shape,40.73799,-73.965862,22,
ERF_weekend_north_shape,40.735698,-73.965969,21,
ERF_weekend_north_shape,40.732543,-73.965368,20,
ERF_weekend_north_shape,40.732056,-73.964381,19,
ERF_weekend_north_shape,40.731698,-73.961699,18,
ERF_weekend_north_shape,40.73095,-73.963737,17,
ERF_weekend_north_shape,40.728088,-73.965518,16,
ERF_weekend_north_shape,40.723584,-73.965862,15,
ERF_weekend_north_shape,40.720852,-73.964038,14,
ERF_weekend_north_shape,40.720998,-73.965926,13,
ERF_weekend_north_shape,40.720169,-73.9679,12,
ERF_weekend_north_shape,40.717957,-73.969746,11,
ERF_weekend_north_shape,40.715078,-73.97099,10,
ERF_weekend_north_shape,40.711646,-73.970819,9,
ERF_weekend_north_shape,40.709857,-73.970926,8,
ERF_weekend_north_shape,40.708605,-73.969853,7,
ERF_weekend_north_shape,40.709825,-73.973243,6,
ERF_weekend_north_shape,40.706734,-73.992856,5,
ERF_weekend_north_shape,40.704473,-73.995581,4,
ERF_weekend_north_shape,40.703367,-73.994851,3,
ERF_weekend_north_shape,40.703887,-74.002748,2,
ERF_weekend_north_shape,40.703595,-74.00646,1,
SANDYHOOK_shape,40.760261,-74.004035,1,
SANDYHOOK_shape,40.761593,-74.007254,2,
SANDYHOOK_shape,40.761691,-74.007511,3,
SANDYHOOK_shape,40.761658,-74.007854,4,
SANDYHOOK_shape,40.761561,-74.008155,5,
SANDYHOOK_shape,40.761333,-74.008412,6,
SANDYHOOK_shape,40.753629,-74.01412,7,
SANDYHOOK_shape,40.753369,-74.014292,8,
SANDYHOOK_shape,40.753011,-74.014421,9,
SANDYHOOK_shape,40.717469,-74.022145,10,
SANDYHOOK_shape,40.716753,-74.022188,11,
SANDYHOOK_shape,40.71633,-74.022081,12,
SANDYHOOK_shape,40.716103,-74.021802,13,
SANDYHOOK_shape,40.716021,-74.021373,14,
SANDYHOOK_shape,40.715745,-74.018283,15,
SANDYHOOK_shape,40.715176,-74.017682,16,
SANDYHOOK_shape,40.714704,-74.018326,17,
SANDYHOOK_shape,40.714753,-74.019678,18,
SANDYHOOK_shape,40.71472,-74.020064,19,
SANDYHOOK_shape,40.714541,-74.020364,20,
SANDYHOOK_shape,40.714265,-74.020472,21,
SANDYHOOK_shape,40.696518,-74.024677,22,
SANDYHOOK_shape,40.695607,-74.025106,23,
